Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,165.493799,-83.849627,0.0,bottom
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,197.678198,-136.668872,90.0,bottom
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,181.473041,-136.818022,90.0,bottom
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,299.631601,-92.896089,180.0,bottom
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.078225,-137.114808,90.0,bottom
C14,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.955247,-136.598762,90.0,bottom
C15,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,279.898784,-141.3482,180.0,bottom
C16,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,291.436268,-58.524627,270.0,bottom
C17,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,279.943214,-138.684,180.0,bottom
C18,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.417093,-136.197334,90.0,bottom
C19,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,237.967473,-121.299077,0.0,bottom
C2,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,170.555249,-102.766452,0.0,bottom
C20,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,156.32283,-64.574979,0.0,bottom
C21,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.528289,-63.97672,0.0,bottom
C22,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.115457,-82.974115,0.0,bottom
C23,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,113.743124,-101.990909,0.0,bottom
C24,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,103.019642,-121.761046,0.0,bottom
C25,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,333.624478,-63.821334,0.0,bottom
C26,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,333.486512,-83.023698,0.0,bottom
C27,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,333.606592,-102.329506,0.0,bottom
C28,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,332.452416,-121.144482,0.0,bottom
C29,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,333.004461,-140.631915,0.0,bottom
C3,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,160.993718,-121.277797,0.0,bottom
C30,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,252.59906,-136.369929,180.0,bottom
C31,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,317.706172,-101.074168,270.0,bottom
