Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,303.701,-60.1022,0.0,top
C2,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,308.8626,-87.1754,0.0,top
C3,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,309.0658,-96.9702,0.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,309.1674,-106.7446,0.0,top
C5,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,293.0586,-95.0626,-90.0,top
C6,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,312.2638,-53.9146,-90.0,top
C7,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,292.6598,-53.8322,-90.0,top
J1,Extended_PET_keyboard_connector,PET_Extended_Keyboard_Connector,209.9691,-49.8856,90.0,bottom
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,42.418,-134.8105,0.0,top
J3,LINK3,PinHeader_2x02_P2.54mm_Vertical,254.5461,-135.4201,0.0,top
J4,LINK3,PinHeader_2x02_P2.54mm_Vertical,294.3302,-60.7518,0.0,top
J5,SPACE1,PinHeader_2x02_P2.54mm_Vertical,195.7705,-135.9535,0.0,top
J6,SPACE2,PinHeader_2x02_P2.54mm_Vertical,129.0955,-135.382,0.0,top
J67,LINK67,PinHeader_2x02_P2.54mm_Vertical,69.2785,-135.5725,0.0,top
Q1,BC859,SOT-23,319.2088,-88.1603,0.0,top
Q10,BC808,SOT-23,223.1644,-107.3285,180.0,top
Q11,BC848,SOT-23,231.4694,-88.216,180.0,top
Q12,BC808,SOT-23,237.3114,-88.269,180.0,top
Q13,BC848,SOT-23,278.4856,-69.1388,180.0,top
Q14,BC808,SOT-23,284.3854,-69.0622,180.0,top
Q15,BC848,SOT-23,292.4556,-69.1755,180.0,top
Q16,BC808,SOT-23,298.45,-69.1269,180.0,top
Q17,BC848,SOT-23,279.654,-88.138,180.0,top
Q18,BC808,SOT-23,285.7394,-88.163,180.0,top
Q19,BC848,SOT-23,267.1572,-131.6877,0.0,top
Q2,BC859,SOT-23,319.1586,-107.2434,0.0,top
Q20,BC808,SOT-23,261.2136,-131.6855,0.0,top
Q21,BC848,SOT-23,266.8524,-138.0885,0.0,top
Q22,BC808,SOT-23,260.9596,-138.1252,0.0,top
Q23,BC848,SOT-23,267.0048,-143.6624,0.0,top
Q24,BC808,SOT-23,260.9088,-143.6743,0.0,top
Q25,BC859,SOT-23,97.79,-126.5569,0.0,top
